CODGEO;POP_MUN;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
31149;38302;50,8;32;30,3;19,6;21,9;1,3;35,1;1,5;10;10,7;8090;20066;1516;3308;376;2890;690;642;108;8727;1372;1409;2493;1748;1080;625;0
31157;16638;51,7;32,1;29,6;21,6;24,1;1,2;32,1;1,6;6,4;6,3;3566;9533;665;1215;170;1516;352;279;67;4275;717;663;1210;856;508;321;0
31395;24725;50,8;29,6;28,1;23,8;27;1;37,2;1,6;7,4;6,4;5515;13099;1056;2474;247;1738;474;474;65;5608;765;841;1547;1147;798;510;0
31483;11241;55;26,4;23,7;35,3;39,4;0,6;47;1,3;5,9;4,8;3021;6064;547;1643;220;611;163;313;48;2253;340;343;612;445;316;197;0
31555;458298;51,6;35,8;35,4;16,9;19,4;1,3;52,6;1;10,8;10,4;156656;279437;16242;102810;9387;28217;7077;17547;42077;85295;16401;14417;22215;15589;9814;6859;0
32013;21962;54,2;26,1;24,3;32,7;35,8;0,6;50,5;1;6,2;5,9;5765;10845;871;3484;334;1076;267;607;580;3721;541;559;936;783;589;313;0
33032;6991;52,2;30,4;28,9;24,7;27,3;1;33,6;1,6;7,7;7;1540;3908;292;579;88;581;156;122;16;1696;265;243;446;350;223;169;0
33039;26104;53;30,4;28,7;22,1;24,7;1,1;36,9;0,9;8;7,1;6921;15232;1113;3268;474;2066;360;564;650;5768;1101;924;1468;1108;714;453;0
3303933063;269730;53;34,2;33,7;18,9;21,5;1,1;52,4;0,8;8,9;8,4;87357;157662;8685;56670;5057;16945;3811;9117;22125;48334;8512;7522;12482;9348;6320;4150;0
33063;243626;53;34,6;34,2;18,5;21,1;1,2;53,8;0,8;9;8,5;80436;142430;7572;53402;4583;14879;3451;8553;21475;42566;7411;6598;11014;8240;5606;3697;0
3306333119;266508;53;34,4;33,9;18,9;21,5;1,2;52,8;0,9;9,7;9,1;87776;158378;8748;57052;5162;16814;4031;9212;22055;48668;8491;7522;12580;9374;6413;4288;0
3306933162;44969;53,1;28,6;25,9;25,5;28,7;0,9;37,7;0,8;5,8;5,4;9294;22792;1726;3743;401;3424;725;713;182;9672;1623;1494;2540;1968;1269;778;0
3311933167;39413;52,5;31,7;30,2;22,2;24,9;1,1;38,6;2,2;14,8;13,5;11581;26419;1959;5356;815;3451;954;907;632;10565;1839;1622;2748;1992;1361;1003;0
33138;8276;53,1;27,9;26,1;30,1;32,9;0,8;35,1;1,3;1,8;1,6;1666;3915;322;722;84;538;115;118;;1639;237;243;448;360;196;155;0
33162;21762;51,7;30,2;27,4;21,8;24,4;1,1;34,1;1;7,1;6,4;4905;11947;937;1935;233;1800;357;404;49;5008;924;757;1306;976;629;416;0
33167;16531;52,2;30,5;29,5;22,1;24,4;1,1;35;2,3;11,4;10,5;4241;10471;783;1706;236;1516;374;248;52;4463;759;698;1182;858;554;412;0
33192;24439;50,6;31,1;28,9;25,7;29,2;0,9;41,1;0,9;5,7;4,8;5689;12002;760;3119;238;1572;348;479;1340;4507;666;650;1225;955;641;370;0
33249;20770;52,3;34,4;31,2;20,5;23,7;1,4;36,7;2,8;19,5;18,7;6595;15268;1080;2918;542;2055;633;538;110;6073;1158;1009;1529;1066;769;542;0
33281;68386;53,7;29,2;27,7;22,8;25,6;1;42,4;0,8;5,6;5,6;15086;33563;2432;7177;831;4646;942;1537;1546;13054;2128;1954;3510;2635;1746;1081;0
33318;60763;52,7;34,7;33,7;22,2;24,1;1,1;40,6;0,9;6,4;6,5;16100;33216;1873;9237;696;4294;950;1152;4946;12122;1726;1880;3384;2458;1625;1049;0
3332433402;6621;53,7;26,1;23,3;37,1;41;0,6;44,4;1,7;12,6;10,8;1518;3142;290;803;95;330;94;126;;1202;198;186;294;243;181;100;0
33522;41517;52,7;40,6;38,1;17,9;20,9;1,3;55,7;0,7;9,5;8,9;15464;27002;1360;10552;819;2733;665;1464;6243;7994;1251;1175;2140;1580;1058;790;0
34003;25253;53;22,3;21,4;38,7;39,8;0,5;40,1;0,8;5,4;5,6;6954;14176;1461;3574;436;1483;341;438;19;5310;747;721;1387;1113;839;503;0
34028;6241;51,7;24,7;22,2;36,8;39,7;0,5;45,2;1,2;5,3;5,2;1395;2745;247;794;86;268;70;102;;1001;146;137;259;231;142;86;0
34032;74811;52,6;29,9;27,4;28,6;31,7;0,8;41,8;2,2;11,8;10,7;22225;47807;4067;11436;1490;5232;1801;1697;689;18885;3006;3027;5005;3672;2499;1676;0
