CODGEO,POP_MUN,TX_TOT_0A24
01004,14359,"32,5"
01031,3646,"32,1"
01034,8909,"29,5"
01053,40490,"31,3"
01160,9236,"29,1"
01262,7074,"33,3"
01283,22258,"32,8"
01354,9635,32
02168,14189,"30,9"
02173,11874,"31,4"
02304,2915,"35,6"
02381,9346,"31,7"
02408,25219,"31,9"
02691,55698,"31,9"
02722,28472,"31,6"
02738,13938,"31,7"
02810,10797,"32,6"
0309503310,38870,"24,2"
0310103185,46872,"26,2"
03185,37839,"27,1"
0318503211,40247,"26,7"
03190,19474,"27,1"
03310,25325,"23,1"
04070,16512,"27,7"
04112,22412,"26,5"
05061,40255,"28,7"
0602906030,116512,"23,3"
06033,11756,"32,8"
06054,4317,"32,9"
06069,50916,"29,6"
06088,342295,"27,9"
0608806114,347702,"27,9"
0608806123,371186,"27,6"
06155,26465,"25,1"
06157,19052,25
07010,16075,"28,4"
07019,11803,"27,3"
07186,8305,"26,3"
07319,8292,"30,5"
08105,48991,"29,1"
08362,7730,"27,9"
08409,18134,29
09122,9731,"25,9"
09225,15744,"30,5"
09261,6289,25
100811026510387,75492,"34,2"
10297,4867,"30,8"
10323,14352,"29,6"
10333,11770,"29,9"
10387,59671,"33,9"
11069,46724,"28,4"
11203,11223,"30,1"
11206,10166,"23,3"
11262,52802,"27,5"
12176,11604,"29,2"
12300,11909,"24,8"
13001,141545,"32,3"
13004,52566,"27,5"
13005,45303,"29,1"
13014,13937,"31,5"
13027,15780,"27,6"
13041,19844,"30,8"
13047,42937,"29,9"
13054,33986,"30,8"
13055,855393,"31,4"
1305513070,861657,"31,4"
13056,47904,28
13063,25002,"32,3"
13067,3114,"30,2"
13077,17208,"29,3"
13103,44263,"30,3"
13106,10713,"29,5"
13108,13941,"32,5"
13117,34493,"32,5"
14118,107229,"36,2"
1411814271,111651,"35,9"
1411814341,118729,"35,9"
14167,5973,"32,1"
14327,21393,"36,7"
14333,7676,"29,5"
14366,21132,"29,1"
15014,26572,"25,1"
16015,41970,"31,4"
16102,18705,"27,5"
16113,7466,"31,1"
16374,9366,"30,1"
17299,24761,"26,4"
17300,74344,31
17306,18138,16
17415,25601,"23,6"
18033,67189,"29,1"
18197,10238,"22,2"
18279,27113,"26,2"
19031,46794,"27,8"
21054,21838,"27,4"
21166,13982,"30,8"
21231,153003,"34,7"
21355,8981,"29,2"
21617,11131,"29,1"
22050,13990,"23,8"
22113,19627,"29,1"
22215,11569,"28,6"
22278,45331,"30,8"
23096,13143,26
24037,28063,"24,4"
24138,8108,"25,3"
2413824322,38144,"28,2"
25031,14552,"30,1"
25056,116952,"35,6"
25057,5806,"34,5"
25284,5480,"32,6"
25388,25697,33
25462,17398,"28,9"
25547,3975,"29,8"
25580,10264,"31,1"
26166,6162,"32,4"
26198,36643,"30,1"
26235,12936,"30,7"
26281,33632,"29,3"
26325,6098,"35,4"
26362,61767,"31,4"
27056,10275,"25,6"
27229,49722,"34,2"
27375,18023,"31,3"
27467,10757,"28,3"
27681,24064,"32,1"
27701,12969,"41,7"
28085,38840,29
28088,13226,29
28134,31373,36
2813428404,43420,"35,4"
28218,16149,"29,9"
28229,10368,"33,7"
28280,10496,"25,2"
28404,12047,34
29019,139386,"34,5"
29039,18867,"21,9"
29232,63532,"28,8"
2A004,67507,"25,8"
2A247,11354,"28,2"
2B033,42254,"28,2"
30007,40711,"27,8"
30010,3377,"24,9"
30028,18218,"29,1"
30032,16036,"31,4"
30132,5176,"26,4"
30189,150564,"31,9"
30202,10393,"27,1"
30227,3247,"22,1"
30258,13641,"31,7"
30334,8573,22
30341,11195,"29,5"
31069,22969,"29,5"
31149,38302,32
31157,16638,"32,1"
31395,24725,"29,6"
31483,11241,"26,4"
31555,458298,"35,8"
32013,21962,"26,1"
33032,6991,"30,4"
33039,26104,"30,4"
3303933063,269730,"34,2"
33063,243626,"34,6"
3306333119,266508,"34,4"
3306933162,44969,"28,6"
3311933167,39413,"31,7"
33138,8276,"27,9"
33162,21762,"30,2"
33167,16531,"30,5"
33192,24439,"31,1"
33249,20770,"34,4"
33281,68386,"29,2"
33318,60763,"34,7"
3332433402,6621,"26,1"
33522,41517,"40,6"
34003,25253,"22,3"
34028,6241,"24,7"
34032,74811,"29,9"
34108,22942,"26,4"
34142,7467,"27,6"
34145,25006,"31,4"
34172,272084,"37,1"
34301,44270,"24,1"
35236,9114,"27,8"
35238,211373,"38,6"
35288,44919,"23,5"
36044,45209,"28,6"
36088,12420,"25,1"
37003,13246,"29,4"
37122,37703,"30,8"
37195,10276,"33,5"
37233,15404,"31,4"
37261,134803,"34,7"
38053,27163,"31,7"
38087,5609,"35,2"
38097,4405,"34,1"
38151,35684,"32,6"
38169,22066,"30,5"
38185,160215,36
38193,16225,"41,6"
38298,6730,31
3829838344,14832,"31,4"
38317,11133,"34,2"
38318,5148,"31,8"
3831838544,34473,"30,8"
38416,8086,"25,7"
38421,38019,"41,6"
38544,29325,"30,6"
38553,18168,"40,5"
38563,19988,"28,6"
39198,23312,"29,2"
39300,17063,"26,4"
39478,10346,"27,2"
40088,20776,24
40192,31334,"27,4"
40281,9337,"28,5"
41018,45539,"32,8"
41194,16891,"26,6"
41269,17121,"26,6"
42005,9844,"31,5"
42044,12523,"30,8"
4204442183,20412,32
4210342271,9578,"32,1"
42147,15673,29
42183,7889,"33,7"
42186,14658,"33,2"
42187,35507,"28,2"
42207,35308,"30,6"
42218,172023,"33,3"
43157,18619,"29,5"
44036,11866,"28,2"
44109,292718,"34,8"
4410944162,336502,"34,3"
44114,24922,"29,8"
44143,39568,"31,1"
44162,43784,"31,3"
44184,68513,"29,6"
45068,12812,33
